plate,shRNA,Well,GeoMean
control 1,shKlf2.1,E06,4092.035463
control 3,shCd4.1,B11,5401.531682
17,Supt16h.3,F09,5404.966536
18,Tet3.3,F06,5405.541531
1,Ash2l.4,G10,4104.192735
10,Mll2.3,E08,8991.286293
19,Whsc1l1.2,E07,5414.651578
control 2,shBptf.2,B03,9000.947897
11,Ncor1.4,G07,9002.89627
19,Brd7.3,C07,5423.376665
15,Sfmbt1.4,F07,5425.57521
2,Brpf3.4,G05,4118.792315
12,Phf8.4,G02,9019.218711
14,Rnf217.3,D07,9027.916751
17,Suv420h2.1,C06,5432.514189
15,Setd5.4,G03,5432.931217
11,Ncoa1.2,C08,9038.172798
11,Padi6.1,C06,9041.364459
1,Aurkb.3,F03,4132.700854
14,Rbbp4.3,D04,9048.639988
14,Prmt2.1,B10,9052.705417
17,Suv39h2.1,B03,5448.894057
6,Fkbp1a.2,D02,4137.672538
11,Orc1.2,E03,9060.156939
4,Dnmt3a.2,C02,4139.32884
5,Ep400.2,E03,4144.949117
control 2,shWhsc1.3,B08,9080.747764
1,Asxl3.4,G09,4149.347319
19,Brdt.3,C06,5463.945302
15,Setdb2.2,C07,5469.488115
3,Cbx4.1,B09,4155.887108
1,Atrx.1,C09,4156.127787
3,Chd2.2,D11,4158.548279
20,Mecp2.3,G11,5480.294262
7,Ing3.2,E03,4163.044974
2,Baz2a.4,G08,4163.643817
14,Rnf20.4,F11,9112.65014
11,Nap1l3.4,G04,9112.704278
control 1,shSmarca4.4,E05,4166.346556
9,Kdm6a.4,F10,9120.021579
9,Mbd3.4,F07,9120.391061
11,Paxip1.2,C05,9127.121615
8,Kdm1b.1,C11,9127.706829
17,Smyd5.3,E08,5491.262226
19,Wbp7.3,D10,5491.397395
16,Smyd3.2,D11,5493.407875
17,Taf3.3,D07,5497.868968
6,Hdac3.3,E09,4179.69951
9,Mbd2.4,G02,9146.906996
1,Arid2.2,D06,4182.260679
5,Fbxo44.4,G05,4182.732942
16,Sirt5.1,C03,5507.219019
8,Jmjd6.4,G04,9161.015543
16,Smarcd1.2,D08,5511.185687
17,Smyd5.4,G04,5512.508697
10,Mll1.3,D10,9165.510904
2,Brpf3.2,D11,4190.77115
21,Smarcc1.2,D05,5515.711971
1,Actl6b.1,B02,4191.475813
17,Tcea1.2,D11,5519.434025
15,Setdb2.4,F04,5519.947601
15,Rpa3.1,B02,5522.343601
17,Suv420h2.4,G02,5525.093479
10,Myst4.2,D03,9192.66956
14,Rbbp5.3,E06,9196.649739
15,Setmar.2,D08,5535.784576
10,Myst3.4,F11,9207.472568
1,Actl6b.2,C04,4212.157067
17,Suv420h2.2,D08,5541.93037
17,Smyd5.2,D02,5542.87932
8,Kat2a.1,B06,9222.333898
7,Hira.2,E07,4216.754304
8,Jmjd5.3,D10,9226.174639
10,Nap1l1.4,G05,9226.576254
14,Prmt3.2,C08,9228.041881
3,Cbx1.3,F06,4220.347841
21,Smarca2.1,F02,5554.990664
6,Hdac2.2,C02,4230.310683
16,Smarcd3.2,C02,5564.177197
18,Usp22.2,C05,5564.644416
19,Zmynd8.2,E02,5566.054178
14,Rnf20.1,B11,9258.391915
17,Sp140.1,D05,5567.653366
2,Bmi1.2,E07,4233.642275
9,L3mbtl3.4,G11,9263.906068
8,Jmjd5.4,E04,9271.817947
15,Setd8.2,E03,5576.543603
18,Ube2i.4,G02,5576.808248
8,Kdm5a.4,G05,9275.515426
2,Baz1a.2,C04,4243.034213
11,Paxip1.1,B11,9280.088456
9,L3mbtl1.4,G10,9280.408955
8,Kdm3b.4,G02,9280.409533
15,Sfmbt1.3,E05,5583.404513
17,Suz12.2,C02,5583.716411
6,Gtf2f1.4,G10,4246.764107
3,Chd2.4,G05,4249.530152
9,Mbd4.1,B11,9295.033769
15,Sfmbt2.2,C05,5590.534391
8,Jmjd5.2,C04,9299.044996
9,Mbd1.2,C07,9308.500463
6,Gtf2b.4,G07,4258.581084
2,Baz2a.1,B06,4259.534714
8,Kat2b.4,F10,9320.838901
1,Atm.3,E05,4263.102156
control 2,shSmarca4.2,E03,9326.785194
15,Scml4.2,C08,5611.200858
18,Usp27x.2,D03,5611.476854
1,Atm.4,F07,4270.777472
14,Prmt7.3,E11,9345.315754
2,Brd3.2,C07,4274.421611
6,Hcfc1.3,D04,4275.226859
3,Chaf1a.3,E10,4276.4036
9,L3mbtl3.1,B05,9359.87877
5,Fbxl19.2,D03,4281.961741
21,Smyd1.3,G10,5630.627406
10,Morf4l1.3,F05,9372.784259
16,Sirt4.1,B06,5637.250734
control 2,shCd4.3,D10,9382.045651
5,Ehmt1.3,F02,4291.457528
11,Ncoa1.3,F02,9387.267498
7,Ino80.2,D08,4294.659116
6,Fbxw9.1,B02,4294.924784
18,Usp27x.4,G06,5653.378188
18,Trim28.1,B09,5655.363695
18,Trim33.2,E02,5655.954656
19,Whsc1.3,F06,5659.086094
4,Chd4.3,E08,4307.144803
9,Mecom.3,D07,9415.559673
