shRNA,t1,t2
Brd7.3,-0.5308713,-23.022705
Wdr82.2,-38.497627,61.858448
Clock.3,-4.4724455,-23.756363
Arid1b.2,-25.645422,-36.243046
Zmynd8.1,-29.071955,-20.381216
Wdr5.2,-9.955361,40.551178
Dpy30.1,-14.593238,-5.735639
Arid1b.3,-24.881098,-18.480442
Whsc1l1.1,-33.685204,-12.798825
Whsc1.2,-9.032025,-23.56484
Dpy30.2,-25.782814,-48.418007
Cbx2.1,-5.895808,17.966467
Zmynd11.2,-23.868153,-19.635727
Wbp7.3,-5.547283,-24.507704
Eaf1.2,-19.71926,-1.3262372
Zmynd8.2,-16.318659,-41.30492
Actl6a,-62.170532,18.613409
Wbp7.4,-24.368755,-35.63934
Cecr2.3,-6.2852564,-37.50826
Brdt.1,-24.436049,-18.952026
Whsc1l1.2,-27.021362,-20.1183
Wdr5.3,-20.656925,-43.67425
Clock.1,-25.573074,-33.997932
Cbx2.2,-26.109442,-18.62265
Zmynd11.3,-4.796094,-12.676854
Wdr82.3,-42.060986,63.83805
Eaf1.3,-11.2739315,-33.332455
Brdt.2,-42.368053,-27.367344
Whsc1l1.3,-45.047108,12.26298
Whsc1.3,4.677055,40.055958
Chd7.1,-39.981426,-32.251305
Arid1a.1,-5.4003477,-24.872316
Zmynd8.3,-2.6055746,-21.60699
Whsc1.4,-3.8420331,-14.1073885
Clock.2,-3.9032376,-12.974647
Cbx2.3,-9.959471,-14.296686
Zmynd8.4,2.342815,-17.054125
Wdr5.4,20.294558,17.777502
Fbxo17.1,-12.668528,-20.093676
Dpy30.3,-11.141438,-16.961243
Whsc1l1.4,-1.7881098,-19.225876
Wdr82.4,-33.77747,60.713966
Brd7.1,-8.149421,-11.075607
Baz1a.1,77.13735,-18.279507
Brd2.1,3.5548997,9.857954
Brd3.1,23.176905,-24.55333
Brd1.1,63.994343,-21.723562
Baz2a.1,63.109962,-21.68853
Brpf3.1,75.947266,-16.56888
Brd8.1,63.951504,-33.223522
Bop1.1,73.38643,-16.399927
Baz1b.1,76.03313,-16.576056
Brd9.1,34.765102,35.812496
Brd8.2,74.34839,-19.316565
Baz2b.1,65.97073,-17.781506
Baz1a.2,63.058445,-15.521425
Brd9.2,32.54851,-31.54151
Brd4.1,-42.23713,-50.449062
Brd3.2,56.335293,-25.428888
Baz2a.2,37.494495,-43.597744
Brpf1.1,62.80887,-20.585995
Brd2.2,62.71854,-18.202393
Bptf.1,73.30801,-16.526114
Baz1b.2,58.76683,-25.126495
Brpf1.2,25.334597,-8.857219
Brd2.3,32.50936,-7.924921
Bmi1.1,33.806377,-8.911397
Baz2b.2,58.706696,-15.171062
Brpf1.3,69.26596,-20.898432
Brd4.2,-41.42008,-50.25163
Bop1.2,59.796623,-16.592075
Baz1a.3,73.84272,-15.080858
Brpf3.2,60.14172,-16.471758
Bptf.2,55.453922,-22.17434
Brd1.2,55.311142,-27.043417
Baz1a.4,68.94965,-15.558526
Brd8.3,39.012703,-44.055416
Brd3.3,32.18475,-38.896297
Bmi1.2,58.314552,-39.614967
Baz1b.3,54.209373,-16.230042
Brd9.3,34.292133,-32.576027
