shRNA_names,Q4,Q1,Q2,Q3
Gtf3c4.1_repP1-7_rep2,51.73,46.36,46.57,46.59
Gtf3c4.2_repP1-7_rep2,47.41,46.55,49.73,46.71
Gtf3c4.3_repP1-7_rep2,47.39,44.63,57.18,46.71
Gtf3c4.4_repP1-7_rep2,46.24,44.12,45.99,67.28
H2afz.1_repP1-7_rep2,48.74,45.48,20.16,73.59
H2afz.2_repP1-7_rep2,69.25,45.48,52.32,54.57
H2afz.3_repP1-7_rep2,46.99,51.87,47.66,48.98
Hat1.1_repP1-7_rep2,45.61,50.13,58.55,47.70
Hat1.2_repP1-7_rep2,69.12,67.04,49.03,49.99
Hat1.3_repP1-7_rep2,51.23,45.65,46.71,46.72
Hat1.4_repP1-7_rep2,54.36,67.85,46.10,46.38
Hcfc1.1_repP1-7_rep2,55.41,45.48,54.58,41.74
Hcfc1.2_repP1-7_rep2,50.10,62.29,46.09,46.52
Hcfc1.3_repP1-7_rep2,70.63,68.46,29.86,52.30
Hcfc1.4_repP1-7_rep2,56.31,45.29,46.45,50.04
Hdac1.1_repP1-7_rep2,49.13,59.08,44.63,50.43
Hdac1.2_repP1-7_rep2,71.59,47.56,46.56,49.31
Hdac1.3_repP1-7_rep2,37.94,44.26,69.58,46.71
Hdac1.4_repP1-7_rep2,72.55,67.91,45.80,46.44
Hdac10.1_repP1-7_rep2,60.74,73.98,46.29,51.19
Hdac10.2_repP1-7_rep2,69.47,49.25,49.77,73.01
Hdac10.3_repP1-7_rep2,47.40,43.14,50.95,69.28
Hdac10.4_repP1-7_rep2,45.32,45.46,70.26,57.50
Hdac11.1_repP1-7_rep2,47.37,46.10,46.56,46.59
Hdac11.2_repP1-7_rep2,51.23,54.39,55.73,46.05
Hdac11.3_repP1-7_rep2,56.67,45.98,47.71,71.51
Hdac2.1_repP1-7_rep2,47.39,45.50,54.66,46.72
Hdac2.2_repP1-7_rep2,47.84,45.35,53.21,50.76
Hdac2.3_repP1-7_rep2,44.79,45.11,48.79,48.03
