Protein1,Protein2,Score
5252|PHF1|O43189,5931|RBBP7|Q16576,30.05672498
5252|PHF1|O43189,8932|MBD2|Q9UBB5,30.02308892
57504|MTA3|Q9BTC8,1107|CHD3|Q12873,29.95047468
57504|MTA3|Q9BTC8,5252|PHF1|O43189,29.88274625
22976|PAXIP1|Q6ZW49,84661|DPY30|Q9C005,29.74771879
6015|RING1|Q06587,80012|PHC3|Q8NDX5,29.72085698
5563|PRKAA2|P54646,56950|SMYD2|Q9NRG4,29.60972858
7703|PCGF2|P35227,22955|SCMH1|Q96GD3,29.52922332
5928|RBBP4|Q09028,2145|EZH1|Q92800,29.41567741
22955|SCMH1|Q96GD3,648|BMI1|P35226,29.38167196
9739|SETD1A|O15047,4221|MEN1|O00255,29.35010572
5931|RBBP7|Q16576,5928|RBBP4|Q09028,29.15978052
25942|SIN3A|Q96ST3,8932|MBD2|Q9UBB5,28.9968641
57504|MTA3|Q9BTC8,25942|SIN3A|Q96ST3,28.8258664
23512|SUZ12|Q15022,2186|BPTF|Q12830,28.74930826
23492|CBX7|O95931,6045|RNF2|Q99496,28.71919582
6602|SMARCD1|Q96GM5,55274|PHF10|Q8WUB8,28.67683008
3065|HDAC1|Q13547,9112|MTA1|Q13330,28.5844257
84678|KDM2B|Q8NHM5,84108|PCGF6|Q9BYE7,28.56485161
5931|RBBP7|Q16576,9112|MTA1|Q13330,28.51998265
