gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
AFF1,NSD1,pp,8,2.8284271247461903
EED,PHF1,pp,87,9.327379053088816
CTSL,EED,pp,1,1.0
EED,EHMT2,pp,87,9.327379053088816
HDAC1,SMARCC2,pp,91,9.539392014169456
CBX6,NCOR2,pp,16,4.0
CHD3,MBD2,pp,51,7.14142842854285
SMARCA1,SMARCC2,pp,14,3.7416573867739413
EED,PBRM1,pp,87,9.327379053088816
NCOR2,SMARCA4,pp,16,4.0
EED,PARP1,pp,87,9.327379053088816
RBBP5,WDR5,pp,29,5.385164807134504
EZH2,PRMT5,pp,105,10.246950765959598
CBX4,DNMT3A,pp,26,5.0990195135927845
BPTF,EED,pp,11,3.3166247903554
HCFC1,PAF1,pp,32,5.656854249492381
KDM5B,MBD2,pp,23,4.795831523312719
KMT2A,RBBP5,pp,40,6.324555320336759
TRIM28,UHRF1,pp,48,6.928203230275509
GADD45A,JMJD1C,pp,6,2.449489742783178
BAZ1B,ING3,pp,15,3.872983346207417
CHD4,CXXC1,pp,60,7.745966692414834
DNMT1,SETD7,pp,40,6.324555320336759
BMI1,PHC3,pp,57,7.54983443527075
EP400,MEN1,pp,23,4.795831523312719
CBX8,PHC3,pp,26,5.0990195135927845
MSL3,PAF1,pp,2,1.4142135623730951
AURKB,CBX3,pp,12,3.4641016151377544
RBBP4,SUV39H1,pp,59,7.681145747868608
CBX1,WDR5,pp,28,5.291502622129181
KDM4C,PRMT5,pp,10,3.1622776601683795
BRD2,BRD4,pp,10,3.1622776601683795
HDAC1,HDAC9,pp,91,9.539392014169456
ING4,KMT2A,pp,12,3.4641016151377544
CBX8,EP300,pp,26,5.0990195135927845
ATM,KAT5,pp,23,4.795831523312719
PAF1,TCEA1,pp,21,4.58257569495584
BRD7,SMARCC2,pp,16,4.0
EED,EP400,pp,87,9.327379053088816
DNMT3A,UHRF1,pp,19,4.358898943540674
RNF20,UBE2B,pp,9,3.0
EED,NCOR1,pp,87,9.327379053088816
ACTB,BRDT,pp,18,4.242640687119285
CARM1,PARP1,pp,24,4.898979485566356
ING2,SMARCB1,pp,14,3.7416573867739413
EZH2,IWS1,pp,105,10.246950765959598
MBD1,SUV39H1,pp,9,3.0
PRMT5,SMARCE1,pp,37,6.082762530298219
EP300,HDAC1,pp,58,7.615773105863909
RNF40,UBE2B,pp,10,3.1622776601683795
PRMT6,SUV39H1,pp,7,2.6457513110645907
EED,SIRT1,pp,87,9.327379053088816
DNMT3L,MECP2,pp,7,2.6457513110645907
KMT2C,RING1,pp,12,3.4641016151377544
KMT2A,SMARCA2,pp,40,6.324555320336759
NCOR1,SMARCA2,pp,34,5.830951894845301
CARM1,SMARCE1,pp,24,4.898979485566356
HDAC1,MEN1,pp,91,9.539392014169456
BMI1,KDM6A,pp,57,7.54983443527075
HDAC2,L3MBTL2,pp,78,8.831760866327848
CBX7,RING1,pp,14,3.7416573867739413
KAT2B,NCOA1,pp,17,4.123105625617661
CXXC1,KMT2D,pp,16,4.0
NCOR1,SIN3A,pp,34,5.830951894845301
DNMT1,SUV39H1,pp,40,6.324555320336759
