source,target,color,edge
CHAF1A,RBBP7,4,pp
CHAF1A,SMARCC1,4,pp
CHAF1A,SMARCA4,4,pp
CHAF1A,SMARCA5,4,pp
CHAF1A,SMARCD1,4,pp
CHD7,WDR5,3,pp
CHD7,ASH2L,3,pp
ASH2L,CHD7,2,pp
UHRF1,PRMT5,4,pp
PRMT5,UHRF1,4,pp
EPC1,EP400,5,pp
EPC1,ING3,5,pp
EPC1,H2AFZ,5,pp
CHD4,PARP1,5,pp
SUV39H1,CBX3,4,pp
CBX3,SUV39H1,2,pp
HDAC3,BCL6,4,pp
BCL6,HDAC3,3,pp
HDAC1,CHD5,2,pp
PRDM14,PRDM6,6,pp
PHC1,CBX7,6,pp
PHC1,SFMBT2,6,pp
PCGF6,CBX4,1,pp
WDR5,PCGF6,4,pp
PCGF2,CBX6,6,pp
MECP2,NSD1,4,pp
CHD1L,HLTF,5,pp
PCGF6,CBX1,1,pp
MECP2,HIRA,4,pp
SIRT6,EHMT2,5,pp
PCGF6,HDAC2,1,pp
WDR5,HDAC2,4,pp
ID2,UBE2E1,6,pp
RING1,HDAC1,6,pp
PHF20L1,HDAC2,6,pp
SUV39H1,EHMT2,4,pp
SIRT6,HDAC3,5,pp
HES1,HES1,6,pp
TAF1,TAF1,6,pp
UBE2E1,PCGF5,4,pp
UBE2E1,H2AFZ,4,pp
BRD1,ING4,1,pp
BRD1,ING5,1,pp
BRD1,CHD4,1,pp
BRD1,CHD5,1,pp
BRD1,DNMT1,1,pp
EZH1,RBBP7,1,pp
EZH1,EHMT2,1,pp
EZH1,CBX3,1,pp
EHMT2,EZH1,1,pp
FBXL19,RNF20,6,pp
RNF20,FBXL19,1,pp
DNMT1,RBBP7,4,pp
RBBP7,DNMT1,1,pp
UHRF1,SMARCA5,4,pp
UHRF1,CBX3,4,pp
