shRNA,count,adjPctg,nbPctg
Whsc1.4,34463,40.28330447299123,85.65690913045304
Whsc1l1.2,40840,47.737287951628176,86.55415007206693
Whsc1l1.3,4874,5.697148420084127,75.63788804068214
Whsc1l1.4,82584,96.5312484867106,90.24578669060735
Zmynd11.1,10203,11.926139788698881,79.3229117805544
Zmynd11.2,4657,5.443500244631058,75.41554356604392
Zmynd11.4,25959,30.343101320673746,84.16244047820828
Zmynd8.1,2019,2.3599800287545856,71.43958563671173
Zmynd8.2,3520,4.114477316105073,74.06180643140918
Zmynd8.3,7885,9.216662965195596,78.02106797168206
Zmynd8.4,133,0.15546178495510646,59.85338512005946
