plate_well,shRNA,GeoMean
13_E02,Prdm2.2,3251.53348
5_G02,Ercc5.4,2268.470044
3_D03,Chd1l.2,2268.495957
6_D02,Fkbp1a.2,2268.580162
13_G03,Prdm2.4,3252.944915
20_G04,Fkbp5.3,2334.995446
3_E10,Chaf1a.3,2269.153207
16_B10,Sirt3.1,2021.204165
11_C11,Nsd1.1,3258.420033
10_G04,Mll2.4,3259.094414
1_F10,Arid2.4,2274.845605
8_D08,Kdm3b.2,3267.67474
6_E02,Gtf3c4.2,2277.931577
6_D09,Gtf2f1.2,2278.293222
13_B08,Prdm9.1,3271.187624
1_G08,Aff4.4,2279.413806
11_D09,Ncor2.2,3271.915168
3_D07,Chd1l.3,2279.838975
14_C08,Prmt3.2,3274.457977
control1_D10,shCd4.3+Runx3,2281.50383
8_D11,Kdm5a.2,3278.902637
1_G04,Aff1.4,2284.631298
control1_C09,Brd8.4,2287.86289
20_G03,Kdm4b.2,2372.188134
2_C03,Baz2b.1,2288.953838
21_D05,Smarcc1.2,2061.198958
control3_E05,Smarca4.4,2063.016035
14_B11,Rnf20.1,3290.933182
2_F11,Brd9.4,2292.521349
3_G05,Chd2.4,2293.050687
4_C05,Dnmt3b.2,2295.664313
17_D11,Tcea1.2,2085.729393
control3_B10,shCd4.1+Runx3,2086.120802
20_C02,Phc3.2,2400.698151
8_E04,Jmjd5.4,3316.265273
9_B11,Mbd4.1,3318.803947
9_E11,L3mbtl1.3,3319.98264
15_F02,Scml4.3,2100.727441
4_G03,Crebbp.4,2309.834961
19_E07,Whsc1l1.2,2786.169581
6_B03,Hcfc1.1,2310.643427
12_G10,Phf1.4,3325.150141
17_B11,Taf1.1,2113.19819
2_C05,Brd9.2,2314.241121
1_B02,Actl6b.1,2315.225451
7_F04,Ing5.4,2316.763824
9_B02,Kdm5b.1,3334.91269
20_B02,Fbxo17.2,2425.21041
15_D10,Rpa3.3,2119.930492
11_D07,Pbrm1.3,3342.273817
20_D09,Iws1.2,2437.362798
2_G04,Baz1b.4,2325.242501
control2_D09,Cxxcl.4,3351.662791
13_D10,Prdm10.3,3352.41367
20_F06,Hdac11.1,2446.779339
14_E07,Prmt6.2,3361.884378
2_G08,Baz2a.4,2333.27266
