Position,Pool,shRNA,GeoMean
8_F10,2,Kat2b.4,5231.08419452837
8_F11,2,Kdm4c.4,6499.95266890719
8_G02,2,Kdm3b.4,4748.8126522456
8_G03,2,Kdm1b.4,4186.57518978475
8_G04,2,Jmjd6.4,5724.34230342959
8_G05,2,Kdm5a.4,5616.16430052539
8_G06,2,Kdm4d.4,7283.41982657504
8_G07,2,Kat5.4,5418.66800268842
8_G08,2,Kat2a.4,5918.86564545529
8_G09,2,Kdm2b.4,7915.41225086027
8_G10,2,Kdm1a.4,6216.41378391007
8_G11,2,Kdm2a.4,5419.62130272865
19_B02,3,Wbp7.1,4018.96071000307
19_B03,3,Arid1b.1,2781.63685163175
19_B04,3,Brd7.2,3845.95539748601
19_B05,3,Actb,5689.06798008767
19_B06,3,Wdr82.1,4328.55329718643
19_B07,3,Eaf1.1,3813.55432729538
19_B08,3,Cecr2.1,3403.69048498179
19_B09,3,Zmynd11.1,3587.76864877172
19_B10,3,Wdr5.1,3478.4547496239
19_B11,3,Chd7.2,4743.8088371981
19_C02,3,Cecr2.2,2983.92423692022
19_C03,3,Whsc1.1,5930.97697524937
19_C04,3,Wbp7.2,3839.67589764992
19_C05,3,Chd7.3,3810.61169591045
19_C06,3,Brdt.3,3826.55451360936
19_C07,3,Brd7.3,3585.83004960616
19_C08,3,Wdr82.2,4774.23147785177
19_C09,3,Clock.3,4176.05188227375
19_C10,3,Arid1b.2,3197.14573116911
19_C11,3,Zmynd8.1,3624.03302865519
19_D02,3,Wdr5.2,3250.85321020216
19_D03,3,Dpy30.1,3358.24415123935
19_D04,3,Arid1b.3,3009.41005998401
19_D05,3,Whsc1l1.1,795.454620940643
19_D06,3,Whsc1.2,6418.50417759187
19_D07,3,Dpy30.2,2855.75989616968
19_D08,3,Cbx2.1,4343.46757494131
19_D09,3,Zmynd11.2,4425.74052305747
19_D10,3,Wbp7.3,3733.78102037187
19_D11,3,Eaf1.2,4227.9536344247
19_E02,3,Zmynd8.2,4562.08418264067
19_E03,3,Actl6a,2507.44658830342
19_E04,3,Wbp7.4,4211.48051434561
19_E05,3,Cecr2.3,4401.56465222008
19_E06,3,Brdt.1,3140.51564958584
19_E07,3,Whsc1l1.2,3511.74504659751
19_E08,3,Wdr5.3,4096.85129026221
19_E09,3,Clock.1,3409.13870713895
19_E10,3,Cbx2.2,3460.17714945052
19_E11,3,Zmynd11.3,3509.40566982424
19_F02,3,Wdr82.3,3816.40974729261
19_F03,3,Eaf1.3,4065.25889034882
19_F04,3,Brdt.2,3535.84628030659
19_F05,3,Whsc1l1.3,5543.16093076461
19_F06,3,Whsc1.3,4500.23724806727
19_F07,3,Chd7.1,4139.1840569356
19_F08,3,Arid1a.1,3893.60811119164
19_F09,3,Zmynd8.3,4463.76440367248
19_F10,3,Whsc1.4,4127.29470084759
19_F11,3,Clock.2,3629.27716955907
19_G02,3,Cbx2.3,3684.55380658553
19_G03,3,Zmynd8.4,2819.96312163071
19_G04,3,Wdr5.4,3758.24178484596
19_G05,3,Fbxo17.1,3982.57771098033
19_G06,3,Dpy30.3,3750.54500510667
19_G07,3,Whsc1l1.4,3996.79954374002
19_G08,3,Wdr82.4,4679.56251647866
19_G09,3,Brd7.1,3293.34328794137
19_G10,3,Zmynd11.4,3099.73274815645
19_G11,3,Arid1a.2,664.233649801843
17_B02,3,Smyd4.1,2947.85188927058
17_B03,3,Suv39h2.1,3348.82441824089
17_B04,3,Suv420h1.1,4404.45091858104
17_B05,3,Suv39h1.1,4295.4040945868
17_B06,3,Sp100.1,3249.53073007204
17_B07,3,Tcea1.1,3367.07766945344
17_B08,3,Suz12.1,3947.85506703468
17_B09,3,Ssrp1.1,2602.25979838452
17_B10,3,Smyd5.1,3311.82097741863
17_B11,3,Taf1.1,2938.43962013024
17_C02,3,Suz12.2,4649.2478195956
17_C03,3,Sp110.1,3098.46205568291
17_C04,3,Smyd4.2,3222.81575454114
17_C05,3,Taf1.2,2924.22098066884
17_C06,3,Suv420h2.1,3784.79018334567
17_C07,3,Suv420h1.2,2536.41227729362
17_C08,3,Sp100.2,2725.47310445474
17_C09,3,Taf3.1,2999.08355525914
17_C10,3,Suv39h2.2,4353.47586139706
17_C11,3,Supt16h.1,4117.89095621446
17_D02,3,Smyd5.2,4452.45135071803
17_D03,3,Taf3.2,4106.16183644039
17_D04,3,Suv39h2.3,4091.5113996759
17_D05,3,Sp140.1,3347.0118811944
17_D06,3,Sp110.2,3047.18605257403
17_D07,3,Taf3.3,4130.65922664051
17_D08,3,Suv420h2.2,3640.2707308567
17_D09,3,Ssrp1.2,4693.72474939166
17_D10,3,Smyd4.3,3908.34574024818
17_D11,3,Tcea1.2,4497.80813079966
17_E02,3,Supt16h.2,2934.4929633829
17_E03,3,Suv39h1.2,3026.90260726658
17_E04,3,Smyd4.4,3387.86922006915
17_E05,3,Suz12.3,3746.71435340566
17_E06,3,Suv420h1.3,3408.19819865438
17_E07,3,Sp140.2,2608.51960926561
17_E08,3,Smyd5.3,3795.62145042532
17_E09,3,Taf1.3,2699.92702164262
17_E10,3,Suv420h2.3,4416.4708488624
17_E11,3,Ssrp1.3,2689.79177819269
17_F02,3,Sp100.3,5502.19698440635
17_F03,3,Tcea1.3,4516.8111013744
17_F04,3,Suv420h1.4,3761.57556455083
17_F05,3,Sp140.3,3806.58604477029
17_F06,3,Sp110.3,3841.49686794879
17_F07,3,Suz12.4,3063.17469659144
17_F08,3,Suv39h1.3,3030.24969701752
17_F09,3,Supt16h.3,4442.18013768376
17_F10,3,Sp110.4,5984.86231802267
17_F11,3,Taf1.4,2399.60313904298
17_G02,3,Suv420h2.4,4626.58274163277
17_G03,3,Supt16h.4,3155.81226958768
17_G04,3,Smyd5.4,3988.94648233255
17_G05,3,Tcea1.4,4030.97513238524
17_G06,3,Taf3.4,2951.23974829357
17_G07,3,Sp140.4,4789.85838619073
17_G08,3,Sp100.4,4674.17889736861
17_G09,3,Suv39h2.4,3433.7745010452
17_G10,3,Ssrp1.4,4361.09498284771
17_G11,3,Suv39h1.4,2918.74765126586
21_B02,3,Satb1.3,4651.17239622901
21_B06,3,Setd7.2,4223.10278281385
