shRNA,count,pctg,nbPctg
Phip.1,54312,0.3527485772694875,89.10419050938675
Phip.2,26893,0.17466614170916792,85.70289630106787
Phip.3,0,0.0,40.92117649556751
Phip.4,10098,0.065585048115836,81.025044919071
Polr2b.1,44,0.0002857736301343617,58.88984314712311
Polr2b.2,1728,0.011223109838004022,73.08454933872751
Polr2b.3,18502,0.12016781147149909,83.90068582746386
Polr2b.4,4986,0.032383348178407434,77.76477660447736
Ppargc1a.1,8328,0.05408915435815827,80.12412930497625
Ppargc1a.2,25463,0.16537849872980118,85.43874267164976
Ppargc1a.3,31112,0.20206793592591502,86.40827109454935
Ppargc1a.4,153636,0.9978435781664271,93.92898376924974
Prdm1.1,19333,0.12556503616790032,84.11161218378429
Prdm1.2,21935,0.14246464947720963,84.71905015534298
Prdm1.3,4594,0.02983736492811949,77.39366238357177
Prdm1.4,17136,0.11129583922687321,83.53315131345036
Prdm10.1,23997,0.15585704096214267,85.15236714771429
Prdm10.2,57464,0.37322036095547634,89.37565009180896
Prdm10.3,4793,0.031129841118954442,77.58559087874718
Prdm10.4,13342,0.08665435848301485,82.34015682926972
Prdm11.2,88,0.0005715472602687234,61.34492024125291
Prdm11.3,20262,0.13159875667687354,84.33715143859118
Prdm11.4,6390,0.041502124921785705,78.89858743177754
Prdm12.1,6231,0.04046944294016381,78.78277088043984
Prdm12.2,10269,0.06669566836022181,81.10385688375213
Prdm12.3,29787,0.19346225274573253,86.19750977988055
Prdm12.4,6325,0.041079959331814485,78.851497420933
Prdm13.1,15236,0.09895561428925305,82.97168536533722
Prdm13.2,3081,0.020010648964635645,75.60546557892145
Prdm13.4,42,0.0002727839196737089,58.72855040655315
Prdm14.1,1197,0.007774341710700703,71.52553584431101
Prdm14.2,2044,0.013275484090787163,73.808303242695
Prdm14.3,3684,0.023927046668522464,76.40099642260388
Prdm14.4,181,0.0011755687966890787,64.00440195388826
Prdm15.1,0,0.0,40.92117649556751
Prdm15.2,19120,0.1241816320038408,84.05838579531124
Prdm15.3,17837,0.11584873274333202,83.72518039610519
Prdm15.4,75848,0.4926217795097969,90.70152347382458
Prdm2.1,1075,0.006981969372600881,71.07482717217854
