gene_name,t1,t2
Arid1b.3,-3.874385,-68.23527
Whsc1l1.1,-43.24144,-6.9284744
Whsc1.2,-16.0643,-65.94365
Dpy30.2,-30.254585,-61.426308
Cbx2.1,2.4643552,-52.873146
Zmynd11.2,-5.159198,-67.44614
Wbp7.3,-13.626086,-67.51691
Eaf1.2,-19.122192,3.9942875
Zmynd8.2,-34.49552,-40.67282
Actl6a,-86.44179,-29.939795
Wbp7.4,-42.350647,-37.184486
Cecr2.3,-24.116226,-12.75141
Brdt.1,-4.3849044,-67.6957
Whsc1l1.2,-4.9511933,-70.67208
Wdr5.3,-34.80413,-34.94248
Clock.1,-43.03488,-38.633373
Cbx2.2,-4.1237144,-70.27996
Zmynd11.3,3.584729,-51.86612
Wdr82.3,-54.189228,65.004265
Eaf1.3,-18.466011,-12.556863
Brdt.2,-61.06494,-35.237984
Whsc1l1.3,-39.121918,17.229237
Whsc1.3,25.879461,51.821625
Chd7.1,24.0177,-45.439323
Arid1a.1,-14.185035,-67.51482
Zmynd8.3,2.5296376,-59.8794
Whsc1.4,4.3962,-53.139854
Clock.2,3.571902,-52.21879
Cbx2.3,-3.59782,-36.49285
Zmynd8.4,-2.869704,-45.985146
Wdr5.4,31.71078,33.026356
Fbxo17.1,-22.57279,-45.53735
Dpy30.3,-12.701945,-36.2805
Whsc1l1.4,-3.606854,-65.13983
Wdr82.4,-38.761726,60.17209
Brd7.1,-1.5929245,-38.693584
Baz1a.1,93.893166,18.133982
Brd2.1,0.4264706,11.338581
Brd3.1,10.602134,-16.872955
Brd1.1,91.558136,-14.305503
Baz2a.1,90.533905,-13.797983
Brpf3.1,96.36581,15.874886
Brd8.1,63.024906,-30.89966
Bop1.1,96.65827,11.376451
Baz1b.1,96.37608,15.887525
Brd9.1,85.494026,23.02846
Brd8.2,85.89268,19.679995
Baz2b.1,87.967476,5.044643
Baz1a.2,82.04742,2.8247173
Brd9.2,39.13963,-62.646244
Brd4.1,-38.302895,-86.91102
Brd3.2,78.054085,-15.790584
Baz2a.2,54.843517,-41.651436
Brpf1.1,89.96181,-14.5142765
Brd2.2,91.14519,-12.543811
Bptf.1,96.899666,11.342201
Baz1b.2,89.27235,-12.596865
Brpf1.2,23.722977,-1.0156066
Brd2.3,27.738121,-5.8088574
Bmi1.1,28.27333,-7.7122426
Baz2b.2,81.205696,-4.5694404
Brpf1.3,90.15515,13.959287
Brd4.2,-39.17829,-87.4716
Bop1.2,82.333626,-3.2756486
Baz1a.3,95.39784,11.446102
Brpf3.2,82.4015,-3.1660285
Bptf.2,81.53038,-13.450737
Brd1.2,77.07396,-16.849129
Baz1a.4,92.46732,2.2402916
Brd8.3,54.147835,-37.236637
Brd3.3,34.32567,-45.889744
Bmi1.2,64.162926,-45.760212
Baz1b.3,80.6942,-2.5218909
Brd9.3,38.90585,-61.03002
Brd4.3,-37.999165,-86.71328
Bop1.3,92.42626,2.4876091
Baz2a.3,81.203705,19.164515
Brpf3.3,81.075584,-11.319934
Brd3.4,94.34842,11.330174
Bmi1.3,82.18772,-8.959779
Baz2b.3,62.29665,-41.217728
Brd8.4,38.58278,-61.022667
Brd1.3,77.58971,-16.308632
Bptf.3,93.66673,3.375266
Baz2b.4,88.08295,5.610362
Brd9.4,91.2181,2.7918515
Brd4.4,-38.48364,-87.28599
Bptf.4,81.4144,-12.557417
Baz1b.4,79.187256,-14.280209
Brpf3.4,81.61517,-11.730285
Brpf1.4,87.67553,4.487609
Bmi1.4,83.13968,-2.6166105
Baz2a.4,82.4808,-10.007154
Brd2.4,-21.373684,-30.191448
Bop1.4,82.03912,2.794981
Brd1.4,88.538605,7.2830915
Fbxo17.2,-26.980541,-29.309114
Padi2.1,-0.6576194,10.71084
Paf1.1,-71.63826,-37.610252
Kdm4b.3,-2.1933486,9.97892
Gtf2h1.1,22.017168,11.924477
Rnf2.2,20.009386,-19.166254
Phc3.1,26.969904,13.349048
Iws1.1,-48.173454,-26.626833
Fkbp2.3,18.839487,-20.54585
Phf10.2,-3.2629418,-35.97696
Phc3.2,13.9790945,24.30569
H2afz.2,-15.53966,-34.73434
Fbxo17.3,17.89438,-21.517088
Phf10.3,44.37105,30.204338
Parp2.2,17.90726,-19.872198
Paf1.2,-70.45774,-37.69041
Gtf2h1.2,-19.46258,-32.26663
Prdm16.1,-41.83973,-39.706974
Padi2.2,-11.1577635,-27.919872
Jmjd8.2,-18.77036,-32.53439
Fkbp5.1,-25.74261,-28.096283
